0	0	189	255	66
1	1	336	2799	2463
2	2	2800	3733	933
3	3	3733	5020	1287
4	4	5233	5530	297
5	5	5682	6459	777
6	6	6528	7959	1431
7	7	8237	9191	954
8	8	9305	9893	588
9	9	9927	10494	567
10	10	10642	11356	714
11	11	11381	11786	405
12	12	12162	14079	1917
13	13	14167	15298	1131
14	14	15444	16557	1113
15	15	16750	16960	210
16	16	16750	16903	153
17	17	17488	18655	1167
18	18	18714	19620	906
19	19	19810	20314	504
20	20	20232	20508	276
21	21	20814	21078	264
22	22	21180	21399	219
23	23	21406	22348	942
24	24	22390	25207	2817
25	25	25206	25701	495
26	26	25825	26275	450
27	27	26276	27227	951
28	28	27292	28207	915
29	29	28373	29195	822
30	30	29650	30799	1149
31	31	30816	34038	3222
32	32	34299	34695	396
33	33	34780	35371	591
34	34	35376	36162	786
35	35	36270	37824	1554
36	36	37897	39115	1218
37	37	39243	40386	1143
38	38	40416	41931	1515
39	39	42402	43173	771
40	40	43187	44129	942
41	41	44179	45466	1287
42	42	45462	45750	288
43	43	45806	47138	1332
44	44	47245	47776	531
45	45	47768	49631	1863
46	46	49822	50302	480
47	47	50379	51222	843
48	48	51228	51606	378
49	49	51608	52430	822
50	50	52426	53416	990
51	51	53415	54702	1287
52	52	54754	57109	2355
53	53	57363	58179	816
54	54	58473	59052	579
54	55	59051	59279	228
55	56	59686	60346	660
56	57	60357	63264	2907
57	58	63428	65780	2352
58	59	65854	66550	696
59	60	66834	68337	1503
60	61	68347	70048	1701
61	62	70386	71265	879
62	63	71350	72115	765
63	64	72228	72927	699
64	65	72910	74521	1611
65	66	74496	75480	984
66	67	75643	77299	1656
67	68	77387	77519	132
68	69	77620	78799	1179
69	70	78847	79453	606
70	71	79463	80864	1401
71	72	80866	81958	1092
72	73	81957	83529	1572
73	74	83621	83708	87
74	75	84367	85312	945
75	76	85629	87354	1725
76	77	87356	87848	492
77	78	88027	89032	1005
78	79	89633	90092	459
79	80	90093	91035	942
80	81	91031	91397	366
